"Occurrences";"Url";"Vendeur";"Nom du produit";"Couleur";"Taille";"Prix";"Stock"
1;"http://www.laredoute.fr/ppdp/prod-501185171.aspx?docid=00000000000001";"Toilinux";"Galette de chaise Ronde - Diam. 40 cm. - Rose";"Rose";"Taille Unique";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501185205.aspx?docid=00000000000001";"Toilinux";"Galette de chaise Ronde - Diam. 40 cm. - Orage";"Gris";"Taille Unique";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501185212.aspx?docid=00000000000001";"Toilinux";"Galette de chaise Ronde - Diam. 40 cm. - Gris";"Gris";"Taille Unique";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501185271.aspx?docid=00000000000001";"Toilinux";"Galette de chaise Ronde - Diam. 40 cm. - Taupe";"Taupe";"Taille Unique";"9,19 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501401351.aspx?docid=00000000000001";"Madura";"Madura Housse de chaise pli creux PAMPA";"Rose";"60x22 cm";"29,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501401398.aspx?docid=00000000000001";"Madura";"Madura Intérieur fibre galette FIBRE";"Blanc";"34x34 cm";"2,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827242.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Noire 50x50";"Noir";"Taille Unique";"15,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827243.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Blanche 50x50 - Douceur d&#39;Intérieur";"Blanc";"Taille Unique";"15,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-501827244.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Rose Dragée 50x50";"Rose";"Taille Unique";"15,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-501827281.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Blanche 45x50";"Blanc";"Taille Unique";"19,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827286.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Taupe 45x50";"Taupe";"Taille Unique";"19,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827287.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Anthracite 45x50";"Anthracite";"Taille Unique";"19,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827390.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Turquoise 50x50";"Bleu";"Taille Unique";"14,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-501827391.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Unie Rouge";"Rouge";"Taille Unique";"15,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-501827392.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Orange 50x50";"Orange";"Taille Unique";"14,00 €";""
1;"http://www.laredoute.fr/ppdp/prod-501940673.aspx?docid=00000000000001";"Le Matelas";"Housse de Chaise Taupe 50x50 - Douceur d&#39;Intérieur";"Taupe";"Taille Unique";"15,00 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-502988875.aspx?docid=00000000000001";"La Redoute";"GALETTE DE CHAISE PAR LOT DE 2";"Gris Moyen Rayé";"Taille Unique";"20,93 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481204.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Bleu azur";"Bleu Azur";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481205.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Bleu turquoise";"Bleu Turquoise";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481206.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Blanc";"Blanc";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481207.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Marron clair";"Marron Clair";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481209.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Noir";"Noir";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481210.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Rose";"Rose";"Taille Unique";"4,90 €";"En stock."
1;"http://www.laredoute.fr/ppdp/prod-504481212.aspx?docid=00000000000001";"EGK";"Drap housse de protection en Ã©ponge pour tabouret rond - Violet";"Violet";"Taille Unique";"4,90 €";"En stock."
